Date,Date,Max_temp_C,Min_temp_c,Relative Humidity(%),Wind Speed(Kmph),Soil Moisture15cm(%),Soil_Temp15cm (o C),Rainfall,Solar Radiation,Atmospheric Pressure (hpa),Leaf Wetness(hr),Air_pressure(Pa),Rext (J/m2/day),sunshine_hours,wind_speed_m_s,solar_radiation_j_sqm,average_temp_c,evaporation_mm_day
2014-04-01,2014-04-01,26.8,22.7,95.6,6.4,29.1,28.9,4.5,233.4,970.0,5.4,97000.0,37688697.0601,12.1070060822,1.7777792,9.7719912,24.75,0.585776398903
2014-04-02,2014-04-02,25.2,22.3,96.8,5.7,32.0,28.2,20.5,163.9,970.6,14.7,97060.0,37726563.4052,12.1173595868,1.5833346,6.8621652,23.75,0.537361522223
2014-04-03,2014-04-03,28.1,22.5,94.2,6.6,32.8,28.8,6.0,301.1,972.3,4.3,97230.0,37762418.0019,12.1276896556,1.8333348,12.6064548,25.3,0.648016193778
2014-04-04,2014-04-04,28.0,22.3,89.9,6.7,32.4,28.6,0.0,289.9,973.6,0.4,97360.0,37796269.1787,12.137994123,1.8611126,12.1375332,25.15,0.860262698647
2014-04-05,2014-04-05,28.2,22.5,88.0,6.4,31.6,29.1,0.0,322.9,974.1,0.0,97410.0,37828127.4889,12.1482708028,1.7777792,13.5191772,25.35,0.939875748389
2014-04-06,2014-04-06,29.7,22.5,90.2,6.5,30.5,30.0,1.0,359.0,973.5,1.0,97350.0,37858005.6781,12.1585174869,1.805557,15.030612,26.1,0.830696077512
2014-04-07,2014-04-07,29.5,22.7,86.9,6.0,29.6,30.8,0.0,412.4,972.7,0.0,97270.0,37885918.6496,12.1687319437,1.666668,17.2663632,26.1,0.970987164767
2014-04-08,2014-04-08,28.7,22.9,88.6,6.9,29.3,30.7,0.0,366.6,973.3,0.8,97330.0,37911883.4258,12.1789119169,1.9166682,15.3488088,25.8,0.926355674097
2014-04-09,2014-04-09,29.4,22.3,86.6,6.9,28.5,31.5,3.5,443.0,974.5,1.2,97450.0,37935919.1072,12.189055124,1.9166682,18.547524,25.85,1.02657295975
2014-04-10,2014-04-10,29.8,23.0,85.9,6.9,28.3,31.2,0.0,475.2,973.9,0.1,97390.0,37958046.8296,12.1991592555,1.9166682,19.8956736,26.4,1.05911365998
2014-04-11,2014-04-11,30.9,22.9,82.6,7.7,27.3,32.6,0.0,495.3,973.6,0.0,97360.0,37978289.7172,12.2092219736,2.1388906,20.7372204,26.9,1.2729012262
2014-04-12,2014-04-12,30.9,22.9,82.9,7.2,26.6,33.2,0.0,503.9,974.1,0.0,97410.0,37996672.834,12.2192409109,2.0000016,21.0972852,26.9,1.22835217707
2014-04-13,2014-04-13,31.3,23.4,81.4,6.7,25.9,33.6,0.0,477.7,974.3,0.0,97430.0,38013223.1333,12.2292136698,1.8611126,20.0003436,27.35,1.27607104524
2014-04-14,2014-04-14,30.6,23.3,83.4,7.0,25.8,32.8,0.0,379.3,973.5,0.0,97350.0,38027969.4037,12.2391378216,1.944446,15.8805324,26.95,1.19054497756
2014-04-15,2014-04-15,30.0,22.5,85.6,8.4,25.1,33.6,0.0,491.6,972.8,0.0,97280.0,38040942.2135,12.2490109054,2.3333352,20.5823088,26.25,1.1455896092
