Date,Max_temp_C,Min_temp_c,Relative Humidity(%),Wind Speed(Kmph),Soil Moisture15cm(%),Soil_Temp15cm (o C),Rainfall,Solar Radiation,Atmospheric Pressure (hpa),Leaf Wetness(hr)
4/1/2014,26.8,22.7,95.6,6.4,29.1,28.9,4.5,233.4,970,5.4
4/2/2014,25.2,22.3,96.8,5.7,32,28.2,20.5,163.9,970.6,14.7
4/3/2014,28.1,22.5,94.2,6.6,32.8,28.8,6,301.1,972.3,4.3
4/4/2014,28,22.3,89.9,6.7,32.4,28.6,0,289.9,973.6,0.4
4/5/2014,28.2,22.5,88,6.4,31.6,29.1,0,322.9,974.1,0
4/6/2014,29.7,22.5,90.2,6.5,30.5,30,1,359,973.5,1
4/7/2014,29.5,22.7,86.9,6,29.6,30.8,0,412.4,972.7,0
4/8/2014,28.7,22.9,88.6,6.9,29.3,30.7,0,366.6,973.3,0.8
4/9/2014,29.4,22.3,86.6,6.9,28.5,31.5,3.5,443,974.5,1.2
4/10/2014,29.8,23,85.9,6.9,28.3,31.2,0,475.2,973.9,0.1
4/11/2014,30.9,22.9,82.6,7.7,27.3,32.6,0,495.3,973.6,0
4/12/2014,30.9,22.9,82.9,7.2,26.6,33.2,0,503.9,974.1,0
4/13/2014,31.3,23.4,81.4,6.7,25.9,33.6,0,477.7,974.3,0
4/14/2014,30.6,23.3,83.4,7,25.8,32.8,0,379.3,973.5,0
4/15/2014,30,22.5,85.6,8.4,25.1,33.6,0,491.6,972.8,0
4/16/2014,30.8,23.2,82.8,7.9,24.8,33.2,0,441.3,971.7,0
4/17/2014,30.2,22.9,81.7,8.1,24.4,33,0,447.7,971.1,0
4/18/2014,31,23.5,81,8.2,23.8,33.1,0,455.7,970.8,0
4/19/2014,30.9,23.1,79.8,8.1,23.2,33.6,0,494.5,972.4,0
4/20/2014,31,22.2,81.9,8.4,23,33.2,0,410.2,972.3,0
4/21/2014,31.2,22.7,81,7.8,22.4,33.7,0,482.3,972.1,0
4/23/2014,32.6,23.4,84.1,5.9,21.8,33.9,2,460.7,972.8,0
4/24/2014,32.2,21.8,82.9,5.9,23,32.6,23,538.2,972,0
4/25/2014,32.2,23.5,76.9,4.1,24.2,32.2,0,521.2,972.2,0
4/26/2014,34.6,22.7,80.1,3.8,24,32.3,3.5,461.9,972.8,0
4/27/2014,34.5,23.5,80.9,3.9,24,31.6,1,445.5,974.1,0
4/28/2014,32.7,23.2,77.4,4.6,23.4,32.3,0,478.2,974.1,0
4/29/2014,32.7,23,81.4,5.2,23.7,31.6,13.5,382.4,974.6,0
4/30/2014,32.3,22.8,78.8,4.8,24.7,31.3,5,476.2,974.1,0
10/1/2014,31.1,22.4,84.8,4.3,20,29.3,0,502.2,969,0
10/2/2014,32.5,23.8,78.8,4.2,18.8,29.8,0,562.6,968.8,0
10/3/2014,32.8,24.1,73.1,4.3,18.1,30.9,0,595.7,968.4,0
10/4/2014,32.6,23.8,75.6,4.6,17.3,30.7,0,509.3,968.3,0
10/5/2014,32.3,24.2,82.3,5.7,17.4,30.9,7.5,535.6,968.9,0
10/6/2014,33.5,20.9,77.4,7.1,17.3,31,3,644.1,969.3,0
10/7/2014,32.8,23.1,77.1,7.2,16.9,31.2,0,616.5,968.2,0
10/8/2014,31.8,23.4,77.5,8.9,16.2,31.5,0,556.7,966.9,0
10/9/2014,31.4,23.7,79.3,5.8,15.3,31.3,0,482,967,0
10/10/2014,33,23.8,81.1,6.6,16.4,31.1,15,512.7,966.3,0
10/11/2014,31.5,23.5,86.3,7.9,18,29,11.5,398.5,966,0
10/12/2014,30.5,23.8,83,10.8,17.6,28.7,0,510.7,965.1,0
10/13/2014,29,23.6,78.1,12,16.8,29.2,0,576.4,965.4,0
10/14/2014,32.4,23.2,76,5.8,16.2,30.1,0,594.5,966.1,0
10/15/2014,33.7,23,77.9,4,16,31.1,10.5,568.7,967.7,0
10/16/2014,30.4,23.3,81.6,3.9,17.6,29.6,0,455.8,969,0
10/17/2014,31.3,22.8,79.9,4.9,16.9,30,0,524.9,969,0
10/18/2014,30.1,22,90.7,3.5,18.6,28.9,24.5,383.9,969.2,0
10/19/2014,27.6,22.1,94.7,3,20.3,27.5,30,299.4,968.6,0
10/20/2014,26.8,22.2,97.2,2.6,20.8,26.5,46.5,214.2,968.6,0
10/21/2014,26,22.6,92.8,5.4,19.4,26.4,2.5,274.9,969.2,0
10/22/2014,27,21.8,91.8,3.3,22.2,26.4,1.5,275.7,970.5,0
10/23/2014,28.6,22.1,86.8,3.4,23.8,27.1,1,433.8,970.3,0
10/24/2014,29.4,22.3,92.5,3,26.9,27,5,370.6,970.1,0
10/25/2014,30.6,23.3,81.9,3.3,39.3,28,7.5,531.7,968.7,0
10/26/2014,26,22.3,98.6,2.5,39.7,26.4,8,147.3,969.7,0
10/27/2014,30.8,22.1,85,3.3,39.8,27.7,14.5,522.6,970.4,0
10/28/2014,30.4,21.6,88.5,3.9,39.8,27.7,45,462.5,970.1,0
10/29/2014,30.2,21.8,86.3,2.8,39.7,27.4,6.5,454.9,969.3,0
10/30/2014,30.1,22.8,87.1,2.3,39.9,27.7,1,478.8,968.9,0
10/31/2014,30.4,21.3,80,2.9,40,27.6,0,561.1,968.6,0
